id;idadresse;novoie;btq;typvoie;codvoie;voie;codepostal;commune;coddep
1;13341;16124;dans la mesure où invoquer;cuicui pour que;coupable afin que à condition que;en outre de;de façon à rectorat gueuler;parce que;personnel
2;2865;17093;en dépit de;conseil municipal chef de cuisine blême;jusqu’à ce que diplomate jusqu’à ce que;d'abord dérouler;meuh prout;avex autrement par rapport à;percer près méditer
3;13918;993;membre de l’équipe considérable;hier peindre sans que;entourer;sale;croâ actionnaire;mairie coin-coin pleuvoir;plouf
4;13075;22689;sincère;par rapport à;concevoir tant;sans que réveiller au-dedans de;géométrique direction assez;restaurer collègue assez;boum pacifique
5;11799;4470;diplomate;gêner paf marron;sauver;de sorte que outre tchou tchouu;quasi appuyer entre;pas mal en dehors de derrière;au lieu de
6;9110;17854;aventurer bzzz;varier mature;au moyen de ha ha;partir adresser sitôt que;responsable;corps enseignant;de manière à ce que adepte
7;31125;7232;ding;dring;de manière à ce que sitôt que;loin de au-dedans de du fait que;amorphe terne du côté de;fonctionnaire chut;ressortir à l'insu de foule
8;27158;29442;parce que que apparemment;au cas où cadre groin groin;calme quoique bien que;à l'exception de entrevoir;assez atchoum via;sale;énergique
9;10657;17026;responsable large moyennant;vers;au cas où;pschitt ha où;refermer prestataire de services;vouh diplomate patientèle;ha
10;32590;15081;plus;crac;secouriste;svelte ah comme;ici sauf de la part de;ferme vroum direction;de la part de même si
