id;iddispoloc;idmutation;sbati;libtyploc;nbpprinc
1;16987;19060;20694.71;sauvage à condition que jadis;22949
2;14090;10671;19996.54;à partir de nonobstant;17649
3;9524;14567;10525.08;blême hôte meuh;16414
4;30797;31095;23668.34;étant donné que ouf;18907
5;23020;5300;29708.52;timide barrer d'abord;8455
6;26844;4163;13111.27;retentir;29765
7;28945;26417;251.72;trop broum;15909
8;31488;2125;31920.5;rose;155
9;13931;3782;27848.23;clac vraiment tant;17786
10;31996;14452;8467.92;respecter regarder;29634
