id;idmutation;datemut;valeurfonc;idnatmut;coddep;vefa;sterr
1;25600;2025-05-25T19:24:49;6644.59;7848;miam;false;6736.61
2;17188;2025-05-26T05:36:04;25862.62;31718;commissionnaire commissionnaire;true;23270.35
3;15725;2025-05-26T17:25:02;22015.56;16153;cogner;true;26139.76
4;5576;2025-05-26T15:52:30;15238.67;26592;de la part de absolument efficace;true;25319.38
5;13423;2025-05-25T20:30:49;10905.76;4373;cuicui causer;false;3391.25
6;10242;2025-05-26T18:32:28;12501.82;26743;contre;true;31826.43
7;10518;2025-05-26T07:32:57;4597.2;5762;parce que diplomate en dedans de;true;1587.4
8;20709;2025-05-26T08:05:36;18485.24;3301;police;true;21996.56
9;13909;2025-05-25T19:59:13;6245.4;29662;transporter passablement;false;17231.14
10;23226;2025-05-26T05:09:18;30948.61;17122;grossir hors jusquՈ ce que;false;11998.22
